TimeNs,Number
29995731,12377
89987194,3473
149978657,3667
209970120,3386
269961583,3701
329953046,3560
389944509,3604
449935972,3678
509927435,3374
569918898,3693
629910361,3703
689901824,3382
749893287,3646
809884750,3408
869876213,3854
929867676,3671
989859139,3352
1049850602,3853
1109842065,3424
1169833528,3644
1229824991,3728
1289816454,3197
1349807917,3728
1409799380,3573
1469790843,3594
1529782306,3678
1589773769,3362
1649765231,3670
1709756694,3240
1769748157,3591
1829739620,3530
1889731083,3629
1949722546,3662
2009714009,9592
2069705472,3681
2129696935,3624
2189688398,3326
2249679861,3482
2309671324,3192
2369662787,3920
2429654250,4322
2489645713,3529
2549637176,3616
2609628639,3410
2669620102,3713
2729611565,3600
2789603028,3401
2849594491,3600
2909585954,3727
2969577417,3729
